Ephemeral Permanent,Ephemeral Seasonal,Ha,Lost Permanent,Lost Seasonal,New Permanent,New Seasonal,No change,Permanent,Permanent to Seasonal,Seasonal,Seasonal to Permanent,Unit_TW,Unit
1.45215591,23.81050489,722480.9433,8.118251567,20.05804241,1.756967288,25.0452757,0,3.312259973,5.276040955,10.1866663,0.983835012,Western Little Karoo,percentage
2.745522848,10.67355088,173802.2575,1.282215662,10.36758566,5.558715297,34.43495061,0,13.03875413,8.425111943,12.56539568,0.908197282,Anysberge & West Swartberg,percentage
1.658464382,21.71581911,370475.2537,4.85069969,11.22648856,8.406087911,13.5739097,0,30.56397349,3.308824129,3.975361406,0.720371629,Coastal Plain Agriculture & Renosterveld,percentage
0.792576062,11.59204932,253655.868,1.107825011,9.257473771,5.002094437,28.8266215,0,15.00869071,16.15383041,11.93654817,0.322290592,East Swartberg,percentage
0.813440599,17.81574264,348529.7289,21.53756993,13.87540525,1.612472561,16.67179438,0,9.347028452,9.524665358,8.762831343,0.039049492,Eastern Little Karoo,percentage
40.36716558,32.46024322,26070.93822,0,8.348924228,1.789055192,8.348924228,0,4.174462114,0.596351731,3.914873714,0,Gamkaberg mountain,percentage
8.184963577,21.12893815,410951.9925,12.47871242,3.974619384,1.44965036,27.53445388,0,11.0435124,12.02772603,2.068338277,0.10908552,Great Karoo,percentage
0.667486847,21.90338455,67004.19464,1.334973693,10.17917441,7.342355312,44.72227312,0,0.166871712,0.333743423,13.01599351,0.333743423,Kamanassie mountains,percentage
1.05333318,7.130020628,228919.6614,5.694973259,11.93283885,8.95910035,19.90760261,0,30.99796843,6.263841652,6.235111677,1.825209362,Langeberg,percentage
3.420118411,34.40526458,374803.8041,7.794620318,10.55609689,4.338358418,27.49811346,0,5.029317743,3.761365052,3.155228962,0.041516171,Outeniquas,percentage
0,12.36993378,42174.19012,0,3.092483446,2.473986757,75.26013243,0,0,0,6.803463581,0,Rooiberg mountain,percentage
0.566303119,12.92715574,167513.3179,0.497919346,20.19176597,6.183680368,10.68428455,0,35.48972106,4.264952151,8.22178878,0.972428906,Stilbaai Coastal Fynbos,percentage
